subj,task,attach_site,itemN,rt
34,maze,low,10,406.1
34,maze,low,12,1439.3
34,maze,high,13,1096.3
34,maze,high,14,746.3
34,maze,high,15,947.1
34,maze,high,16,1029.9
34,maze,high,17,1280.6
34,maze,high,19,825.2
34,maze,high,20,970.6
34,maze,high,21,769.4
34,maze,high,22,1117.4
34,maze,high,23,879.6
34,maze,high,24,877.2
35,maze,low,1,1018.9
35,maze,low,2,1632.3
35,maze,low,4,702.2
35,maze,low,7,2582.1
35,maze,low,8,762.9
35,maze,low,10,717.6
35,maze,low,11,1167.4
35,maze,low,12,889
35,maze,high,14,3048.1
35,maze,high,15,2260.2
35,maze,high,16,1346.9
35,maze,high,17,2319.3
35,maze,high,18,2638.1
35,maze,high,19,1209.8
35,maze,high,21,1193.3
35,maze,high,22,1048.8
35,maze,high,23,891.2
35,maze,high,24,779.1
36,maze,low,1,786.7
36,maze,low,2,620.5
36,maze,low,4,1001.2
36,maze,low,5,946.1
36,maze,low,6,931.8
36,maze,low,7,1119.9
36,maze,low,8,743.5
36,maze,low,9,1063
36,maze,low,10,921.5
36,maze,low,11,909.5
36,maze,low,12,799
36,maze,high,13,1018.7
36,maze,high,14,1692.4
36,maze,high,15,1709.3
36,maze,high,16,755.2
36,maze,high,17,1825
36,maze,high,18,1638.3
36,maze,high,19,1310
36,maze,high,21,930.8
36,maze,high,22,901.2
36,maze,high,23,1245.2
36,maze,high,24,985.4
37,maze,low,1,479.5
37,maze,low,3,579.3
37,maze,low,4,529.8
37,maze,low,5,772.5
37,maze,low,6,750.9
37,maze,low,7,784.9
37,maze,low,8,589.2
37,maze,low,9,942.5
37,maze,low,11,610.9
37,maze,low,12,693
37,maze,high,13,1141.2
37,maze,high,15,1443.8
37,maze,high,17,747.8
37,maze,high,19,1024.1
37,maze,high,21,1168.5
37,maze,high,22,1614.9
37,maze,high,24,1102.2
38,maze,low,1,727.4
38,maze,low,3,773.5
38,maze,low,4,1034.1
38,maze,low,5,619.2
38,maze,low,6,669.2
38,maze,low,7,638.5
38,maze,low,8,514.5
38,maze,low,9,685.6
38,maze,low,10,562.4
38,maze,low,11,1011.1
38,maze,low,12,580.4
38,maze,high,13,988.8
38,maze,high,14,767.1
38,maze,high,15,1425.2
38,maze,high,16,629.2
38,maze,high,17,728.7
38,maze,high,18,858.8
38,maze,high,19,640.9
38,maze,high,20,757.9
38,maze,high,21,987.1
38,maze,high,22,880.9
38,maze,high,23,881.5
38,maze,high,24,1330.3
39,maze,low,1,559.3
39,maze,low,2,640.5
39,maze,low,3,693.2
39,maze,low,4,569.7
39,maze,low,5,852.3
39,maze,low,6,699.1
39,maze,low,10,632.8
39,maze,low,11,594.5
39,maze,low,12,589.3
39,maze,high,13,651.4
39,maze,high,17,1299.9
39,maze,high,19,852.4
39,maze,high,24,805.1
40,maze,low,1,772.7
40,maze,low,2,817
40,maze,low,3,839
40,maze,low,4,611.7
40,maze,low,5,1073.1
40,maze,low,6,905.4
40,maze,low,7,850.8
40,maze,low,8,582.4
40,maze,low,10,905.4
40,maze,low,11,620
40,maze,high,13,886.3
40,maze,high,14,1068.7
40,maze,high,15,703.4
40,maze,high,16,768.1
40,maze,high,17,635.7
40,maze,high,18,893.9
40,maze,high,19,885.9
40,maze,high,20,1803.5
40,maze,high,21,809.7
40,maze,high,22,717.1
40,maze,high,23,823.1
40,maze,high,24,1210.6
41,maze,low,1,893.6
41,maze,low,2,496.1
41,maze,low,3,1065.7
41,maze,low,4,724.5
41,maze,low,5,1045.2
41,maze,low,6,576.3
41,maze,low,7,817.9
41,maze,low,9,1319.7
41,maze,low,10,733.6
41,maze,low,11,899.6
41,maze,low,12,498.4
41,maze,high,13,783.3
41,maze,high,15,722.7
41,maze,high,16,1038.7
41,maze,high,17,619.8
41,maze,high,19,665.8
41,maze,high,20,1319.7
41,maze,high,21,780.1
41,maze,high,22,658.1
41,maze,high,23,777.1
41,maze,high,24,1054.9
42,maze,low,1,699.8
42,maze,low,2,814.8
42,maze,low,3,1083.1
42,maze,low,5,569.3
42,maze,low,6,849.8
42,maze,low,7,1297.7
42,maze,low,8,998.4
42,maze,low,9,605.2
42,maze,low,10,628.1
